experimento,referencia,tarefa,modelo,disponivel,motivo,accuracy,balanced_accuracy,precision,recall,f1,mcc,auc,specificity,specificity_macro_ovr,specificity_tipo,false_positive_rate,false_negative_rate,amostras,n_classes,limiar_score,ponto_operacao,threshold_source,metrica_dependente_de_limiar,anomalias_detectadas,anomalias_reais,taxa_anomalias_detectadas,grafico_metricas,grafico_matriz_confusao,concordancia_media_membros
ahirwar,Ahirwar & Nandanwar (2025),anomalia,Isolation Forest,True,,0.5192307692307693,0.5192307692307693,0.6129032258064516,0.1043956043956044,0.1784037558685446,0.06889616945837414,0.6278831059050839,0.9340659340659341,0.5192307692307693,binaria_TN/(TN+FP),0.06593406593406594,0.8956043956043956,364,2,,protocolo_do_artigo,contaminacao_a_priori_0.05,a_priori_ou_congelada,31,182,0.08516483516483517,resultados/experimentos/ahirwar/modelo_isolation_forest_metricas.png,resultados/experimentos/ahirwar/modelo_isolation_forest_matriz_confusao.png,
ahirwar,Ahirwar & Nandanwar (2025),anomalia,AE-LSTM,True,,0.5027472527472527,0.5027472527472527,0.5714285714285714,0.02197802197802198,0.042328042328042326,0.020004001200400138,0.7329428812945298,0.9835164835164835,0.5027472527472527,binaria_TN/(TN+FP),0.016483516483516484,0.978021978021978,364,2,4.608428478240967,protocolo_do_artigo,p99_erro_reconstrucao_treino,a_priori_ou_congelada,7,182,0.019230769230769232,resultados/experimentos/ahirwar/modelo_ae_lstm_metricas.png,resultados/experimentos/ahirwar/modelo_ae_lstm_matriz_confusao.png,
ahirwar,Ahirwar & Nandanwar (2025),anomalia,Facebook Prophet,True,,0.5,0.5,0.5,0.01098901098901099,0.021505376344086023,0.0,0.5715644245864027,0.989010989010989,0.5,binaria_TN/(TN+FP),0.01098901098901099,0.989010989010989,364,2,1.0,protocolo_do_artigo,intervalo_prophet_0.99,a_priori_ou_congelada,4,182,0.01098901098901099,resultados/experimentos/ahirwar/modelo_facebook_prophet_metricas.png,resultados/experimentos/ahirwar/modelo_facebook_prophet_matriz_confusao.png,
ahirwar,Ahirwar & Nandanwar (2025),anomalia,Híbrido (voto),True,,0.5027472527472527,0.5027472527472527,0.5454545454545454,0.03296703296703297,0.06217616580310881,0.01604782961763111,0.518883588938534,0.9725274725274725,0.5027472527472527,binaria_TN/(TN+FP),0.027472527472527472,0.967032967032967,364,2,,protocolo_do_artigo,voto_majoritario_2_de_3,a_priori_ou_congelada,11,182,0.03021978021978022,resultados/experimentos/ahirwar/modelo_hibrido_voto_metricas.png,resultados/experimentos/ahirwar/modelo_hibrido_voto_matriz_confusao.png,0.9432234432234433
