arquitetura,mediana_validacao,media_validacao,desvio_validacao,n_parametros,n_seeds,dentro_faixa_2pct,selecionada
simetrico_16_8,0.1254938542842865,0.12751248329877854,0.008599374503006789,1088,5,True,True
compacto_12_4,0.16566823422908783,0.1655979037284851,0.010713553004328262,724,5,False,False
profundo_16_8_4,0.3012455999851227,0.3053218722343445,0.014805834831435999,1164,5,False,False
