arquitetura,seed,n_parametros,razao_parametros_por_janela,melhor_epoca,epocas_executadas,perda_treino_na_melhor_epoca,perda_validacao,duracao_s
compacto_12_4,13,724,1.018284106891702,250,250,0.13821534898378343,0.18004915118217468,18.785607899997558
compacto_12_4,29,724,1.018284106891702,250,250,0.12756004481040645,0.16352790594100952,17.722420099999
compacto_12_4,42,724,1.018284106891702,245,250,0.12947259078381265,0.16855011880397797,17.315482099998917
compacto_12_4,71,724,1.018284106891702,247,250,0.12231055949978352,0.15019410848617554,16.80951179999829
compacto_12_4,101,724,1.018284106891702,249,250,0.1361186381969103,0.16566823422908783,16.62381060000189
simetrico_16_8,13,1088,1.530239099859353,175,205,0.20611145891217741,0.1420873999595642,14.437737899999775
simetrico_16_8,29,1088,1.530239099859353,206,236,0.19105613763992965,0.12003270536661148,16.270417100000486
simetrico_16_8,42,1088,1.530239099859353,246,250,0.18283294046981424,0.1254938542842865,18.71615120000206
simetrico_16_8,71,1088,1.530239099859353,249,250,0.18593090860652522,0.12268716096878052,17.991669199996977
simetrico_16_8,101,1088,1.530239099859353,241,250,0.18156956611973996,0.12726129591464996,18.16767719999916
profundo_16_8_4,13,1164,1.6371308016877637,212,242,0.3540807493795993,0.2929387390613556,23.21542799999588
profundo_16_8_4,29,1164,1.6371308016877637,241,250,0.3779390435430068,0.31576403975486755,23.854856999998447
profundo_16_8_4,42,1164,1.6371308016877637,225,250,0.36281093305340967,0.3012455999851227,24.188973700001952
profundo_16_8_4,71,1164,1.6371308016877637,166,196,0.3882751680711486,0.32535621523857117,21.03087639999285
profundo_16_8_4,101,1164,1.6371308016877637,247,250,0.36495007341924096,0.2913047671318054,21.515396199996758
