experiment,fault,fault_type,mode,mode_name,operacao_cc,operacao_cc_median_pre,operacao_cc_median_post,corrente_ca,corrente_ca_median_pre,corrente_ca_median_post,tensao_ca,tensao_ca_median_pre,tensao_ca_median_post,potencia_ca,potencia_ca_median_pre,potencia_ca_median_post
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),885.1414533948425,0.02737266256190196,24.228678323328495,398.2787233603821,0.04244867223484618,16.906402986037833,375.21987761199546,0.02460916616670248,9.233848317203364,3797.033112767977,0.00848828132438939,32.230285259196535
F1M,1,Falha total em um IGBT,M,MPPT (potencia maxima),176503.92976220793,0.0330819204090389,5839.088956275955,27014.579906860126,0.04136607311559483,1117.487087614255,140745.26962830016,0.01415188569043808,1991.8109672495902,31622.21673580173,0.0058698166812973795,185.61661529541016
F2L,2,Falha de 20% em sensor de fase,L,IPPT (potencia limitada),46.07313859968861,0.10281414459313964,4.736970333848149,11538.958777591522,0.042313460231205906,488.2532733451432,114.56958095136861,0.07177406618820523,8.223124686358467,252.28837583561423,0.012423408952599857,3.134281666993047
F2M,2,Falha de 20% em sensor de fase,M,MPPT (potencia maxima),1044.0146506166961,0.023777030222845497,24.823567900806665,49062.63807842546,0.03180324287656217,1560.3509949730324,1654.204995818949,0.019720596244840755,32.62190882874398,1185.919135942933,0.007426893222145736,8.807694792747498
F3L,3,Afundamentos intermitentes de tensao,L,IPPT (potencia limitada),2.051361013211771,0.020365782896988094,0.04177757303841645,1.613395279174914,0.05019764560493084,0.08098864444469078,1.3946565393404329,0.03745952748645638,0.05224317496958908,2.0427278938746665,0.0060824541142210364,0.012424798682332039
F3M,3,Afundamentos intermitentes de tensao,M,MPPT (potencia maxima),1.4246598417989085,0.023309161246288568,0.03320762597360272,0.9084597525866445,0.04317597283278275,0.039223633597357505,0.7507842353075468,0.023552298933476754,0.017682694744505095,1.060107375038601,0.006547447759658098,0.006940997657693515
F4L,4,Sombreamento parcial nao uniforme (10-20%),L,IPPT (potencia limitada),1.3790876735727478,0.0237316299669601,0.03272799836122431,0.9320640701854606,0.028175065705262875,0.0262609664189901,1.0037315082550158,0.012076445902892906,0.012121509260470804,1.0473855743341605,0.0060708923992933705,0.006358565122354776
F4M,4,Sombreamento parcial nao uniforme (10-20%),M,MPPT (potencia maxima),1.412710289845288,0.02153324790924671,0.03042024089518236,0.9699071091574071,0.04232177194891294,0.041048187485389194,1.082720858246431,0.016317015698547745,0.017666773241152102,0.8808381166764426,0.004979941688361578,0.004386522457934916
F5L,5,Circuito aberto em 15% do arranjo PV,L,IPPT (potencia limitada),10870.92538937547,0.025742701727722306,279.8469898030162,707.5011121869107,0.059522346659897106,42.11212646185206,774.2915934339728,0.03257638986287442,25.223624815251355,5637.694216448186,0.004547853081021458,25.639405012130737
F5M,5,Circuito aberto em 15% do arranjo PV,M,MPPT (potencia maxima),204558.26556797506,0.023529661607426533,4813.186767816544,18792.879972150633,0.05271210198307483,990.6122056476886,81889.2571797428,0.020623494221295863,1688.8426222326361,11618.313632143707,0.026918449294043967,312.74698638916016
F6L,6,Ganho PI do MPPT/IPPT reduzido em 20%,L,IPPT (potencia limitada),2.2621693204315743,0.02722534561826251,0.06158834159577964,1.327458591967823,0.08249197116343518,0.10950467588926392,1.054709785858721,0.029743215660810073,0.03137046062036275,1.0937462463457277,0.009542638748825993,0.010437225311761722
F6M,6,Ganho PI do MPPT/IPPT reduzido em 20%,M,MPPT (potencia maxima),2.32736770786531,0.04203056520293558,0.09782058019663964,1.207913525902881,0.0879708315140299,0.10626115727072014,1.1992658810120491,0.026568090483530024,0.03186220444053847,1.2845275973286856,0.007420795524467394,0.009532216645311564
F7L,7,Constante de tempo PI elevada em 20%,L,IPPT (potencia limitada),10.05236951082895,0.02175988761064218,0.21873843077628408,0.9769977653879856,0.05866442796524706,0.057315015029810824,0.9906846618393005,0.03380924627663834,0.03349430171461308,0.8951956722764479,0.006925860230694525,0.0062000001053093
F7M,7,Constante de tempo PI elevada em 20%,M,MPPT (potencia maxima),2.848419153173225,0.039152459634351544,0.1115226159163285,1.3215327900987472,0.0731205376063818,0.09663118807648212,1.7322872431770273,0.01935646006987434,0.03353094885210883,2.52626655118814,0.007198997074738145,0.018186585512012243
