experiment,fault,fault_type,mode,mode_name,method,seed,n_baseline,n_pre_test,n_post_test,baseline_fraction_of_pre,true_negatives,false_positives,false_negatives,true_positives,auc_roc,average_precision,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,sustained_detection,detection_delay_from_nominal_midpoint_s,median_index_pre,median_index_post
F3M,3,Afundamentos intermitentes de tensao,M,MPPT (potencia maxima),autoencoder_ensemble,,87,87,174,0.5,86,1,160,14,0.5336900515259612,0.7279616917095506,0.08045977011494253,0.0485310998138549,0.13051297141589013,0.9885057471264368,0.9377280216427621,0.9979680922624077,0.5344827586206896,0.13968605915391563,True,3.21967668463189,0.20579107700062785,0.2145428659025001
F3M,3,Afundamentos intermitentes de tensao,M,MPPT (potencia maxima),pca,,87,87,174,0.5,87,0,161,13,0.530981635618972,0.7148241255809589,0.07471264367816093,0.04417947281230249,0.12361862679045275,1.0,0.9577124930558795,0.9999999999999999,0.5373563218390804,0.16189403145068332,True,3.21967668463189,0.11831966206033842,0.12822492606386476
F4L,4,Sombreamento parcial nao uniforme (10-20%),L,IPPT (potencia limitada),autoencoder_v2,42.0,180,180,359,0.5,180,0,357,2,0.5566078613432375,0.6970043556950347,0.005571030640668524,0.0015291093879739055,0.020082144315449087,1.0,0.9791045020783868,1.0,0.5027855153203342,0.04321324533393813,False,,0.16707670210863074,0.18953343023265914
F4L,4,Sombreamento parcial nao uniforme (10-20%),L,IPPT (potencia limitada),autoencoder_ensemble,,180,180,359,0.5,180,0,359,0,0.5661559888579388,0.699895057854852,0.0,0.0,0.010587155153602403,1.0,0.9791045020783868,1.0,0.5,0.0,False,,0.1442796564044443,0.17207567198295026
F4L,4,Sombreamento parcial nao uniforme (10-20%),L,IPPT (potencia limitada),pca,,180,180,359,0.5,180,0,359,0,0.5668368926029094,0.6893462083941759,0.0,0.0,0.010587155153602403,1.0,0.9791045020783868,1.0,0.5,0.0,False,,0.10616346624299686,0.13429491532253418
F4M,4,Sombreamento parcial nao uniforme (10-20%),M,MPPT (potencia maxima),autoencoder_v2,42.0,180,180,359,0.5,178,2,352,7,0.5506809037449706,0.6997106379201252,0.019498607242339833,0.009476527316162907,0.03969497276181155,0.9888888888888889,0.9603989991004155,0.9969476251540074,0.5041937480656143,0.03087142098736352,False,,0.22899459954233126,0.23762582922610884
F4M,4,Sombreamento parcial nao uniforme (10-20%),M,MPPT (potencia maxima),autoencoder_ensemble,,180,180,359,0.5,179,1,351,8,0.5356081708449396,0.6970879371477674,0.022284122562674095,0.011334029176124538,0.04334952017676022,0.9944444444444445,0.9692069292336208,0.9990186339327839,0.5083642835035593,0.06157196695081175,False,,0.20349929086369034,0.20137014744841827
F4M,4,Sombreamento parcial nao uniforme (10-20%),M,MPPT (potencia maxima),pca,,180,180,359,0.5,180,0,358,1,0.5559579077684929,0.704050076951652,0.002785515320334262,0.0004918811981754609,0.015607323230337235,1.0,0.9791045020783868,1.0,0.5013927576601671,0.03052796748270094,False,,0.14019725638776193,0.152746058098273
F5L,5,Circuito aberto em 15% do arranjo PV,L,IPPT (potencia limitada),autoencoder_v2,42.0,178,179,357,0.49859943977591037,171,8,0,357,1.0,1.0,1.0,0.9893541644764191,1.0,0.9553072625698324,0.9143005344134072,0.9771821799082285,0.9776536312849162,0.9666276538556295,True,0.0,0.3116648568472943,776.3264281014082
F5L,5,Circuito aberto em 15% do arranjo PV,L,IPPT (potencia limitada),autoencoder_ensemble,,178,179,357,0.49859943977591037,173,6,0,357,1.0,1.0,1.0,0.9893541644764191,1.0,0.9664804469273743,0.9288107184545821,0.9845488722921246,0.9832402234636872,0.9749387485924883,True,0.0,0.2953612523930267,776.3264281014082
