arquivo,papel,etapas,bytes,sha256,hash_manifesto,qualidade_estrutural
resultados/autoencoder/weibull_tabela.csv,canonico,rul_weibull,4358,e931981c91a1019d8a06eb6854581d1a165c02afdbe1419dc3c69d5bc1705375,ok,ok
resultados/autoencoder/weibull_trajetorias_grade.csv,canonico,rul_weibull,137405,3597847f5ff0a671fc57a491ad7ac45c7f758dce36be69569e29ad7d784957b0,ok,ok
resultados/autoencoder/weibull_ttf.png,canonico,rul_weibull,319688,57e563b6ee57529097fe4b60efcb5cc80d5e0c0bada463b1a6ee9cbfd8a916a5,ok,nao_aplicavel
resultados/gpvs/gpvs_macro_comparacao.png,canonico,validacao;validacao_gpvs_e3,131056,e3bd981305e4e12a8b6cae6b545aac1e263b11fe3200fae2f0ff7dcc09a63ed0,ok,nao_aplicavel
resultados/gpvs/gpvs_metricas_por_cenario.png,canonico,validacao;validacao_gpvs_e3,152868,6c9cd306cc8cc5cdc1439734329525b5f95d20541493a38f0d0d308ec729e735,ok,nao_aplicavel
resultados/gpvs/gpvs_series_temporais.png,canonico,validacao;validacao_gpvs_e3,2337290,c375033f758589e99bb6bf4c82ff3554b6d9fa64559a6233900502669e1d97cf,ok,nao_aplicavel
resultados/gpvs/gpvs_transferencia_estrita.png,canonico,validacao;validacao_gpvs_e3,205785,546b4e0b5dc223c7bde325f63e6cbad6f46a7e4bd4fc8696c8a7f6d0c221018e,ok,nao_aplicavel
resultados/gpvs/relatorio_validacao_gpvs.md,canonico,validacao;validacao_gpvs_e3,1712,18590e3ac86d5fd312eaa6abb0c92a4a033701b17d93fff318d7c71dc8ee8a49,ok,nao_aplicavel
resultados/gpvs/validacao_gpvs_cenarios.csv,canonico,validacao;validacao_gpvs_e3,4530,e172533023823d0f5d6080448477c5e933cae6f78217a6659af443f0c5bad7b9,ok,ok
resultados/gpvs/validacao_gpvs_cenarios.md,canonico,validacao;validacao_gpvs_e3,1406,483577bfca1627856f6cb1f5fe06fa6beb810081b7982a2369efff683b8bc083,ok,nao_aplicavel
resultados/gpvs/validacao_gpvs_e3.json,canonico,validacao;validacao_gpvs_e3,29911,036a6f555726cbe760973304f0393ee0a06466055512e971d1a0d51055a64422,ok,ok
resultados/gpvs/validacao_gpvs_scores.csv,canonico,validacao;validacao_gpvs_e3,1117284,ba588818b3226dedd13cea2d84b5624a1d39b01cc56437821d743e01f2a5922e,ok,ok
resultados/macro/comparacao_deteccao_severidade.png,legado_comparativo,macro_comparacao,293850,615586dd2df65218a3659d000421b34e2103d1bec233ef6fb90b31a7a282fbd6,ok,nao_aplicavel
resultados/macro/comparacao_resultado.json,legado_comparativo,macro_comparacao,14094,12cf2eafd8af3a5ea43a4ccceeb7d66141131c3c8d7cc1653cf394f8a4f4ce75,ok,ok
resultados/macro/comparacao_tabela.csv,legado_comparativo,macro_comparacao,501,62dbf3ae31d9fe0271498410b1cb33e89abb64d483d056ea8a23c06deea3e8a8,ok,ok
resultados/macro/comparacao_tabela.md,legado_comparativo,macro_comparacao,585,53b4864dcd1098afd41b622b6bccf1d167daebd6c002d40fd936d39bbb291bf8,ok,nao_aplicavel
resultados/macro/ibrahim_deteccao_severidade.png,legado_comparativo,macro_comparacao,235023,ec4a5ada56183569016d27ab0e2ce4aa5f30be7a8e778d51e53d365985ed4cd2,ok,nao_aplicavel
resultados/macro/ibrahim_resultado.json,legado_comparativo,macro_comparacao,7077,30fd7a22dfaf396b3894756cb17604d72ca790516c5457469ae085ee86988784,ok,ok
resultados/macro/ibrahim_tabela.csv,legado_comparativo,macro_comparacao,291,99b9ea5116fcf71def2b4e82f9d03b7aab0936a7c0c1a2c2bb9b78ff9f8d048d,ok,ok
resultados/macro/ibrahim_tabela.md,legado_comparativo,macro_comparacao,345,b223ad3f4c495cb9af4cbb35d1e5aa2aa1b2438796d02ee09d88748132a014bd,ok,nao_aplicavel
resultados/macro/proposto_deteccao_severidade.png,legado_comparativo,macro_comparacao,232879,cab948f36b7e3b9dff2e6d863472f8a03aaec9967bc953da6a16b93ed321b03c,ok,nao_aplicavel
resultados/macro/proposto_resultado.json,legado_comparativo,macro_comparacao,7020,1765c22f6a6fe50820ecc95bcf24c182cf8ed6cfd016443dc23a77bacf144150,ok,ok
resultados/macro/proposto_tabela.csv,legado_comparativo,macro_comparacao,285,ec8689b3b70c8eb1ae2be79fc854701484c9ca2ef68a8bebf9f9a135dbcd9406,ok,ok
resultados/macro/proposto_tabela.md,legado_comparativo,macro_comparacao,333,cc143fe4e07de56842024ae4fab48aae9dfec1f948bfe82b46b3a1b8d3bf0f29,ok,nao_aplicavel
resultados/manifestos/autoencoder.json,manifesto,,3549,3d00882ce49a1f4512e2435320e3beb1b1f0ac971fcee3bcd02150e53a89066d,sem_hash_manifesto,ok
resultados/manifestos/features_ca.json,manifesto,,1641,274538f9fa2cc34211e67567544a7086dee8e197001156c35409b1b3c91ef71f,sem_hash_manifesto,ok
resultados/manifestos/features_gpvs.json,manifesto,,1769,f3136c6f05bab1f22c5a362e06245c26984ebd86d7d1419ef0b02c0ae31a24d9,sem_hash_manifesto,ok
resultados/manifestos/injecao_falhas.json,manifesto,,3419,730f9d805140b09f5f6587d9974df65a24a24dee0ca13b4fc4840e20ea954cbb,sem_hash_manifesto,ok
resultados/manifestos/macro_comparacao.json,manifesto,,4108,20f4b6fd5eddc1508e9fa687196080a018d116ad101e86783d2f717104dc9c68,sem_hash_manifesto,ok
resultados/manifestos/rul_weibull.json,manifesto,,5782,dde69a64f7b80834a8639740d5db1b066f688edda1fad1349420025604ea64d7,sem_hash_manifesto,ok
resultados/manifestos/validacao.json,manifesto,,7166,107481bfd828d64f3694e2cc56dad54ca7143c72ffbc70ee67905ff8828b3eb0,sem_hash_manifesto,ok
resultados/manifestos/validacao_gpvs_e3.json,manifesto,,4674,fef1adbdd20be27f298247385b34e7402f23b5f02f4561948340029ad0506e7f,sem_hash_manifesto,ok
resultados/qualidade/features_gpvs_qualidade.json,canonico,features_gpvs,1394,98aa7996f6f0b256401d5b3d4355d674b891df63535af109673bb2a67e5ad591,ok,ok
resultados/qualidade/features_gpvs_qualidade.png,canonico,features_gpvs,438626,694b6b1262fd60e4503a9d80f82ab66c68c90f3d91f331514ca9f8c416fbc69c,ok,nao_aplicavel
resultados/reprocessamento.txt,suplementar,,4978,07c54984d4aed0248af52726827d0b7378a0e40661aaae67cf31138ba4b6fdd2,sem_hash_manifesto,nao_aplicavel
