bloco,mse_n_janelas,mse_mediana,mse_iqr,mse_p95,mse_p99,mse_max,mse_ref_p99_count,mse_ref_p99_rate_pct,mse_ref_p99_ci95_low_pct,mse_ref_p99_ci95_high_pct,score_operacional_n_janelas,score_operacional_mediana,score_operacional_iqr,score_operacional_p95,score_operacional_p99,score_operacional_max,score_operacional_count,score_operacional_rate_pct,score_operacional_ci95_low_pct,score_operacional_ci95_high_pct
treino,104,0.2158508002758026,0.22749445959925652,0.8280941784381866,2.7212535524368278,3.0431864261627197,2,1.9230769230769231,0.5289711585064021,6.74231291576782,104,0.2158508002758026,0.22749445959925652,0.8280941784381866,2.7212535524368278,3.0431864261627197,2,1.9230769230769231,0.5289711585064021,6.74231291576782
calibracao,42,0.36827734112739563,0.3319454491138458,1.9015180408954586,2.5828206539154044,2.662410020828247,1,2.380952380952381,0.4215404134432499,12.321201573766647,42,0.36827734112739563,0.3319454491138458,1.9015180408954586,2.5828206539154044,2.662410020828247,1,2.380952380952381,0.4215404134432499,12.321201573766647
teste_isolado,60,0.24721789360046387,0.3199690543115139,1.3531189024448391,3.571058788299551,5.258608818054199,1,1.6666666666666667,0.2948159794786249,8.855129727590061,60,0.24721789360046387,0.3199690543115139,1.3531189024448391,3.571058788299551,5.258608818054199,1,1.6666666666666667,0.2948159794786249,8.855129727590061
