falha,npr,n_traj,n_eventos,n_censurados,censura_pct,n_indetectaveis_no_teto,n_censura_genuina,pod_mon_no_teto,a_det_unidade,ttf_unidade,rul_unidade,tempo_fisico_calibrado,beta,beta_ci_low,beta_ci_high,eta,eta_ci_low,eta_ci_high,mttf,mttf_ci_low,mttf_ci_high,b10,b10_ci_low,b10_ci_high,km_rmse,fit_method,a_det_grid_step,n_niveis_distintos,taxa_empates,media_a_det_parametrica,media_a_det_parametrica_ci_low,media_a_det_parametrica_ci_high,a10_parametrico,a10_parametrico_ci_low,a10_parametrico_ci_high,papel_weibull_r2,papel_weibull_rmse,sintese_parametrica_recomendada,bootstrap_solicitados,bootstrap_validos,bootstrap_taxa_validos,fit_converged,rul_reportavel,rul_parametrica_disponivel,rul_parametrica_alta_incerteza,rul_restrita_disponivel,rul_restrita_horizonte,rul_restrita_inicial,margem_restrita_disponivel,margem_restrita_horizonte,margem_restrita_inicial,status_ajuste,evidence_level
Contator AC,315,100,100,0,0.0,0,0,1.0,a_det_fracao_da_assinatura_nominal,a_det_fracao_da_assinatura_nominal,a_det_fracao_da_assinatura_nominal,False,5.287040571330139,4.75305009558227,6.118342355661721,0.4551852869683017,0.43624215905264985,0.4726113999832716,0.41928210451772624,0.4018523445224737,0.43605745355914155,0.29739647785831874,0.2784740266838296,0.31900789812771846,0.04224799385481738,mle_interval_censored_grid_right_censored,0.008403361344537815,34,0.6599999999999999,0.41928210451772624,0.4018523445224737,0.43605745355914155,0.29739647785831874,0.2784740266838296,0.31900789812771846,0.9109711064380548,0.46617346894782846,True,1000,1000,1.0,True,True,True,False,True,0.6302521008403361,0.4245378151260503,True,0.6302521008403361,0.4245378151260503,exploratorio_detectabilidade,E2
IGBT,90,100,100,0,0.0,0,0,1.0,a_det_fracao_da_assinatura_nominal,a_det_fracao_da_assinatura_nominal,a_det_fracao_da_assinatura_nominal,False,4.316380282541768,3.665784172580934,5.1978611061987,0.3582604384614912,0.3407684756904785,0.37474876757508074,0.32615042876599226,0.30788031485472495,0.3441838276927574,0.21270473824008665,0.18598670517475446,0.24187362560190362,0.04950311566347144,mle_interval_censored_grid_right_censored,0.008403361344537815,34,0.6599999999999999,0.32615042876599226,0.30788031485472495,0.3441838276927574,0.21270473824008665,0.18598670517475446,0.24187362560190362,0.7904851695821073,0.6624866917930364,False,1000,1000,1.0,True,False,True,False,True,0.46218487394957986,0.3298319327731093,True,0.46218487394957986,0.3298319327731093,nao_recomendado_desvio_papel_weibull,E2
Fusível AC,30,100,100,0,0.0,0,0,1.0,a_det_fracao_da_assinatura_nominal,a_det_fracao_da_assinatura_nominal,a_det_fracao_da_assinatura_nominal,False,4.1145917548872095,3.4975546625346388,6.833605265527315,0.03917763439914501,0.03711969235701076,0.041325860547295576,0.0355680208409556,0.03413685562276656,0.037327930520039035,0.022673173348884246,0.02113961644212516,0.02696884995054754,0.05341445703314758,mle_interval_censored_grid_right_censored,0.008403361344537815,6,0.94,0.0355680208409556,0.03413685562276656,0.037327930520039035,0.022673173348884246,0.02113961644212516,0.02696884995054754,0.454873475207605,0.7343025794456862,False,1000,1000,1.0,True,False,True,False,True,0.07563025210084033,0.04016806722689076,True,0.07563025210084033,0.04016806722689076,nao_recomendado_desvio_papel_weibull,E2
