falha,falha_id,npr,severidade,n,erro_mediano,erro_q25,erro_q75,taxa_deteccao,taxa_ci_low,taxa_ci_high,atinge_alvo_smd,evidence_level
Contator AC,contator_ac,315,0.05,100,0.23493038887960763,0.18455945620607506,0.31195237245744833,0.01,0.0017674320641406505,0.054486196178705315,False,E2
Contator AC,contator_ac,315,0.1,100,0.24376562309214156,0.18196058941860088,0.31676441003930683,0.02,0.00550196755016235,0.07001179072854388,False,E2
Contator AC,contator_ac,315,0.2,100,0.35086091163146327,0.25891027683731604,0.5434788571254255,0.11,0.06254196357064568,0.18631296503080313,False,E2
Contator AC,contator_ac,315,0.3,100,0.716184859686505,0.4858292032539891,1.1669601364776698,0.39,0.3001687400639441,0.4879698295415926,False,E2
Contator AC,contator_ac,315,0.5,100,2.504243512070566,1.311727140740391,4.26507495189132,0.94,0.8752318455410406,0.9722138760368118,False,E2
Contator AC,contator_ac,315,0.7,100,5.046569470814201,2.606037682945405,10.33215735217471,1.0,0.9630065017930143,1.0,True,E2
Contator AC,contator_ac,315,1.0,100,9.990881820123306,6.0222854802743955,25.59358162089839,1.0,0.9630065017930143,1.0,True,E2
IGBT,igbt,90,0.05,100,0.23057764687145413,0.1842709298156972,0.3075538779204816,0.02,0.00550196755016235,0.07001179072854388,False,E2
IGBT,igbt,90,0.1,100,0.27161571053282,0.2096346628978572,0.35895497331406423,0.02,0.00550196755016235,0.07001179072854388,False,E2
IGBT,igbt,90,0.2,100,0.6224151698424729,0.4248985714580413,0.9717604041031443,0.33,0.24563122734128034,0.4269465620490947,False,E2
IGBT,igbt,90,0.3,100,1.4851040695629862,0.800627394290715,2.0948220367698482,0.7,0.6041514536665332,0.7810511470506724,False,E2
IGBT,igbt,90,0.5,100,3.688400993567277,2.084081279037446,8.005937738868866,1.0,0.9630065017930143,1.0,True,E2
IGBT,igbt,90,0.7,100,6.258081522525945,4.2633273901324245,19.156556288567938,1.0,0.9630065017930143,1.0,True,E2
IGBT,igbt,90,1.0,100,11.929655330720403,9.410901540690528,45.950095509348785,1.0,0.9630065017930143,1.0,True,E2
Fusível AC,fusivel_ac,30,0.05,100,3.9818191582284284,2.829266200392384,5.752309516735613,0.99,0.9455138038212946,0.9982325679358593,True,E2
Fusível AC,fusivel_ac,30,0.1,100,16.08375859534162,10.503869745350528,22.63821687198416,1.0,0.9630065017930143,1.0,True,E2
Fusível AC,fusivel_ac,30,0.2,100,72.7139211463639,42.146074536939075,91.92425791228236,1.0,0.9630065017930143,1.0,True,E2
Fusível AC,fusivel_ac,30,0.3,100,180.27016539488932,95.58978594943203,209.73858933755935,1.0,0.9630065017930143,1.0,True,E2
Fusível AC,fusivel_ac,30,0.5,100,545.9639424574766,271.9541504201179,595.8047734087572,1.0,0.9630065017930143,1.0,True,E2
Fusível AC,fusivel_ac,30,0.7,100,1120.5553733470263,543.7198291379459,1190.6721759627471,1.0,0.9630065017930143,1.0,True,E2
Fusível AC,fusivel_ac,30,1.0,100,2396.193960658209,1140.491549079673,2496.55735059148,1.0,0.9630065017930143,1.0,True,E2
