model,model_name,metric,estimate,ci95_low,ci95_high,n_experiments,n_valid_experiments,bootstrap_resamples,bootstrap_unit
ae_denso,Autoencoder Denso,recall,0.40729404547551246,0.21175069330515203,0.6105385791715504,14,14,20000,experiment
ae_denso,Autoencoder Denso,f1,0.46659867813933487,0.2657952355332529,0.6682051751664908,14,14,20000,experiment
ae_denso,Autoencoder Denso,precision,0.9229559523847739,0.8700843577796396,0.9676888544956449,14,13,20000,experiment
ae_denso,Autoencoder Denso,auc_roc,0.7739583991468245,0.6905656567723955,0.8533948777859919,14,14,20000,experiment
ae_denso,Autoencoder Denso,auc_pr,0.8618504150911235,0.8058814681816645,0.9161803917420371,14,14,20000,experiment
ae_denso,Autoencoder Denso,false_positive_rate,0.026444045607736128,0.010024899747563333,0.051930242959314185,14,14,20000,experiment
ae_denso,Autoencoder Denso,specificity,0.9735559543922637,0.9480091364444441,0.989837568131059,14,14,20000,experiment
ae_denso,Autoencoder Denso,sensitivity,0.40729404547551246,0.21046623925887176,0.6182320364519447,14,14,20000,experiment
ae_denso,Autoencoder Denso,balanced_accuracy,0.6904249999338882,0.5942507092688196,0.7906725607932544,14,14,20000,experiment
ae_denso,Autoencoder Denso,mcc,0.3939588831925712,0.21498193044018,0.5802737376811591,14,14,20000,experiment
ae_lstm,AE-LSTM,recall,0.38729918379118694,0.1842098733146419,0.6010400851737386,14,14,20000,experiment
ae_lstm,AE-LSTM,f1,0.4356861931645172,0.2159057440330646,0.6579024067374947,14,14,20000,experiment
ae_lstm,AE-LSTM,precision,0.9468114187131471,0.8595708060649259,1.0,14,10,20000,experiment
ae_lstm,AE-LSTM,auc_roc,0.7593495550037966,0.6759571887705256,0.8423819094687796,14,14,20000,experiment
ae_lstm,AE-LSTM,auc_pr,0.8474991625681527,0.7895598899933955,0.9062222343875391,14,14,20000,experiment
ae_lstm,AE-LSTM,false_positive_rate,0.018537414965986394,0.0,0.04461451247165533,14,14,20000,experiment
ae_lstm,AE-LSTM,specificity,0.9814625850340136,0.9535147392290251,1.0,14,14,20000,experiment
ae_lstm,AE-LSTM,sensitivity,0.38729918379118694,0.18403272109686572,0.6011929983165994,14,14,20000,experiment
ae_lstm,AE-LSTM,balanced_accuracy,0.6843808844126003,0.5811055946627113,0.7906726820298489,14,14,20000,experiment
ae_lstm,AE-LSTM,mcc,0.3671496994774385,0.1708931805470513,0.5704841156979268,14,14,20000,experiment
