model,component,magnitude,empirical_cdf,log_magnitude,weibull_y,position_method
ae_denso,contator_ac,0.02,0.009594882729211007,-3.912023005428146,-4.641708639609736,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.15,0.02025586353944553,-1.8971199848858813,-3.8890965051286788,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.18,0.023809523809523725,-1.7147984280919266,-3.725645037876429,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.2,0.02736318407960192,-1.6094379124341003,-3.5847166245843014,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.21,0.03447050461975824,-1.5606477482646683,-3.3501632157778802,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.22,0.048685145700070986,-1.5141277326297755,-2.997530005426403,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.23,0.07533759772565732,-1.4696759700589417,-2.546868287838412,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.24,0.10909737029139999,-1.4271163556401458,-2.1583103961163905,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.25,0.1464108031272208,-1.3862943611198906,-1.843230242304615,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.26,0.17839374555792445,-1.3470736479666092,-1.6271233423766298,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.27,0.20682302771855005,-1.3093333199837622,-1.462273375374363,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.28,0.24769012082444927,-1.2729656758128873,-1.256646115272253,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.29,0.29211087420042675,-1.2378743560016174,-1.062855839742105,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.3,0.3223169864960914,-1.2039728043259361,-0.9439815273369221,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.31,0.34363894811656065,-1.171182981502945,-0.865017326181032,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.32,0.3738450604122253,-1.1394342831883648,-0.758950648224961,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.33,0.4147121535181245,-1.1086626245216111,-0.6242715019459787,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.34,0.4502487562189065,-1.0788096613719298,-0.5136807171668948,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.35000000000000003,0.48045486851457114,-1.0498221244986776,-0.4234229940186569,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.36,0.5195451314854311,-1.0216512475319814,-0.3105795897259743,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.37,0.5675195451314866,-0.9942522733438669,-0.17647689652096568,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.38,0.6048329779673074,-0.9675840262617056,-0.07424223654421787,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.39,0.6226012793176983,-0.941608539858445,-0.025878954246174316,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.4,0.6528073916133627,-0.916290731874155,0.0562627326003742,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.41000000000000003,0.6918976545842227,-0.8915981192837835,0.16324343873728647,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.42,0.7203269367448479,-0.8675005677047231,0.2422667237209779,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.43,0.7452025586353954,-0.843970070294529,0.3128280435338433,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.44,0.7754086709310598,-0.8209805520698302,0.40110417540022975,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.45,0.8038379530916852,-0.7985076962177716,0.48785226012911304,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.46,0.8304904051172713,-0.7765287894989963,0.5737135159319187,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.47000000000000003,0.8535891968727796,-0.7550225842780327,0.6530222806819254,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.48,0.8678038379530921,-0.7339691750802004,0.7048130605026434,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.49,0.8837953091684441,-0.7133498878774648,0.7665844588524612,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.5,0.9015636105188349,-0.6931471805599453,0.8408534532244706,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.51,0.9157782515991474,-0.6733445532637656,0.9059583750602004,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.52,0.9335465529495384,-0.6539264674066639,0.9974111186379089,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.53,0.9530916844349683,-0.6348782724359695,1.1182712177604484,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.54,0.9673063255152808,-0.616186139423817,1.2298082740331726,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.56,0.9779673063255154,-0.579818495252942,1.3390003884127555,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.58,0.9850746268656717,-0.5447271754416722,1.4362011919161934,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.6,0.992181947405828,-0.5108256237659907,1.5792507884088594,modified_KM_NIST_grouped_ties
ae_denso,contator_ac,0.61,0.9975124378109453,-0.4942963218147801,1.7911679757667909,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.02,0.014925373134328276,-3.912023005428146,-4.19718310309743,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.19,0.030916844349680117,-1.6607312068216509,-3.460792785638753,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.24,0.0362473347547973,-1.4271163556401458,-3.2989859265155257,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.25,0.04513148542999279,-1.3862943611198906,-3.075173199392944,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.27,0.05401563610518828,-1.3093333199837622,-2.8908455731819083,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.28,0.059346126510305575,-1.2729656758128873,-2.793934360867049,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.29,0.06467661691542276,-1.2378743560016174,-2.7051103482704923,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.3,0.07000710732054005,-1.2039728043259361,-2.6230888156775976,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.31,0.07533759772565735,-1.171182981502945,-2.5468682878384117,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.32,0.08422174840085273,-1.1394342831883648,-2.430634089772466,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.33,0.09488272921108727,-1.1086626245216111,-2.3056822573109548,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.34,0.11087420042643908,-1.0788096613719298,-2.14117613278076,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.35000000000000003,0.1375266524520253,-1.0498221244986776,-1.9108739251840172,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.36,0.17128642501776808,-1.0216512475319814,-1.6719481441876,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.37,0.20859985785358914,-0.9942522733438669,-1.4526411490745028,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.38,0.242359630419332,-0.9675840262617056,-1.2817669638098415,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.39,0.2690120824449185,-0.941608539858445,-1.160407861461991,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.4,0.29211087420042675,-0.916290731874155,-1.062855839742105,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.41000000000000003,0.3240938166311305,-0.8915981192837835,-0.9372564992045646,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.42,0.3614072494669516,-0.8675005677047231,-0.8018725713082815,modified_KM_NIST_grouped_ties
