analysis,model,model_name,seed,is_reference,experiment,fault,fault_type,mode,mode_name,sequence_length,decision_target,context_policy,uses_future_windows,crosses_experiment_or_split,transition_post_windows,n_pre_fault_test,n_post_fault_evaluated,post_fault_context_reset,context_fully_post_fault,score_threshold,score_top_k,auc_pr,auc_roc,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,f1,precision,precision_defined,recall,false_positive_rate,tn,fp,fn,tp
current_full,ae_denso,Autoencoder Denso,71,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,False,False,3.792628526687622,5,0.9371003408382332,0.857760117279426,0.6677018633540373,0.6145419226317103,0.7169076123380888,0.9813664596273292,0.9466544229682271,0.9936430065067258,0.8245341614906831,0.6148654702269517,0.7962962962962963,0.9862385321100917,True,0.6677018633540373,0.018633540372670808,158,3,107,215
transition,ae_denso,Autoencoder Denso,71,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,7,False,False,3.792628526687622,5,0.041619395430067305,0.5474711623779946,0.0,5.551115123125783e-17,0.35433043506668743,0.9813664596273292,0.9466544229682271,0.9936430065067258,0.4906832298136646,-0.028116077855776665,0.0,0.0,True,0.0,0.018633540372670808,158,3,7,0
sustained,ae_denso,Autoencoder Denso,71,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,315,False,True,3.792628526687622,5,0.9396496789958664,0.8646554273883467,0.6825396825396826,0.6291991637961655,0.7314816599127493,0.9813664596273292,0.9466544229682271,0.9936430065067258,0.8319530710835059,0.6304298985846328,0.8067542213883677,0.9862385321100917,True,0.6825396825396826,0.018633540372670808,158,3,100,215
post_fault_reset,ae_denso,Autoencoder Denso,71,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,True,True,3.792628526687622,5,0.9371003408382332,0.857760117279426,0.6677018633540373,0.6145419226317103,0.7169076123380888,0.9813664596273292,0.9466544229682271,0.9936430065067258,0.8245341614906831,0.6148654702269517,0.7962962962962963,0.9862385321100917,True,0.6677018633540373,0.018633540372670808,158,3,107,215
current_full,ae_denso,Autoencoder Denso,101,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,False,False,3.144629955291748,5,0.9363849755411073,0.8546738165965819,0.6677018633540373,0.6145419226317103,0.7169076123380888,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.8214285714285714,0.6087392806700049,0.7948243992606284,0.9817351598173516,True,0.6677018633540373,0.024844720496894408,157,4,107,215
transition,ae_denso,Autoencoder Denso,101,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,7,False,False,3.144629955291748,5,0.04155145785256692,0.5403726708074534,0.0,5.551115123125783e-17,0.35433043506668743,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.48757763975155277,-0.03256448045129181,0.0,0.0,True,0.0,0.024844720496894408,157,4,7,0
sustained,ae_denso,Autoencoder Denso,101,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,315,False,True,3.144629955291748,5,0.9389537173977065,0.8616582865030069,0.6825396825396826,0.6291991637961655,0.7314816599127493,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.828847481021394,0.6243154908214429,0.8052434456928839,0.9817351598173516,True,0.6825396825396826,0.024844720496894408,157,4,100,215
post_fault_reset,ae_denso,Autoencoder Denso,101,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,True,True,3.144629955291748,5,0.9363849755411073,0.8546738165965819,0.6677018633540373,0.6145419226317103,0.7169076123380888,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.8214285714285714,0.6087392806700049,0.7948243992606284,0.9817351598173516,True,0.6677018633540373,0.024844720496894408,157,4,107,215
current_full,ae_lstm,AE-LSTM,13,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,False,False,23.392887115478516,5,0.9333260582274707,0.8505844681918135,0.6708074534161491,0.6177306863996089,0.7198568029214828,0.9627329192546584,0.9210886045972584,0.9828102147044706,0.8167701863354038,0.5992643310160244,0.7941176470588235,0.972972972972973,True,0.6708074534161491,0.037267080745341616,155,6,106,216
transition,ae_lstm,AE-LSTM,13,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,7,False,False,23.392887115478516,5,0.039783352502491764,0.515527950310559,0.0,5.551115123125783e-17,0.35433043506668743,0.9627329192546584,0.9210886045972584,0.9828102147044706,0.4813664596273292,-0.0401286176952564,0.0,0.0,True,0.0,0.037267080745341616,155,6,7,0
sustained,ae_lstm,AE-LSTM,13,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,315,False,True,23.392887115478516,5,0.9361005456119751,0.8580301685891747,0.6857142857142857,0.6324717484048379,0.7344817852816232,0.9627329192546584,0.9210886045972584,0.9828102147044706,0.824223602484472,0.6149637155165099,0.8044692737430168,0.972972972972973,True,0.6857142857142857,0.037267080745341616,155,6,99,216
post_fault_reset,ae_lstm,AE-LSTM,13,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,True,True,23.392887115478516,5,0.9324035955827406,0.8477296400601828,0.6708074534161491,0.6177306863996089,0.7198568029214828,0.9627329192546584,0.9210886045972584,0.9828102147044706,0.8167701863354038,0.5992643310160244,0.7941176470588235,0.972972972972973,True,0.6708074534161491,0.037267080745341616,155,6,106,216
current_full,ae_lstm,AE-LSTM,29,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,False,False,16.942502975463867,5,0.9330984973910932,0.852011882257629,0.7080745341614907,0.6561954163265561,0.7550475252100465,0.7888198757763976,0.7194206794356456,0.8447577782493262,0.7484472049689441,0.47017355913607434,0.7808219178082192,0.8702290076335878,True,0.7080745341614907,0.2111801242236025,127,34,94,228
transition,ae_lstm,AE-LSTM,29,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,7,False,False,16.942502975463867,5,0.03336916046460564,0.4090505767524401,0.0,5.551115123125783e-17,0.35433043506668743,0.7888198757763976,0.7194206794356456,0.8447577782493262,0.3944099378881988,-0.10503236422202819,0.0,0.0,True,0.0,0.2111801242236025,127,34,7,0
sustained,ae_lstm,AE-LSTM,29,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,315,False,True,16.942502975463867,5,0.936677067089974,0.8618554668244109,0.7238095238095238,0.6719620959075919,0.7702639575094253,0.7888198757763976,0.7194206794356456,0.8447577782493262,0.7563146997929606,0.48754442215394567,0.7902946273830156,0.8702290076335878,True,0.7238095238095238,0.2111801242236025,127,34,87,228
post_fault_reset,ae_lstm,AE-LSTM,29,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,True,True,16.942502975463867,5,0.9347155214835194,0.8564870182477529,0.7080745341614907,0.6561954163265561,0.7550475252100465,0.7888198757763976,0.7194206794356456,0.8447577782493262,0.7484472049689441,0.47017355913607434,0.7808219178082192,0.8702290076335878,True,0.7080745341614907,0.2111801242236025,127,34,94,228
current_full,ae_lstm,AE-LSTM,42,True,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,False,False,17.381608963012695,5,0.9298874858973848,0.842656533312758,0.6863354037267081,0.6337121835685221,0.7345650775090325,0.8571428571428571,0.7947569409876509,0.9028830873324754,0.7717391304347826,0.5124236754718031,0.7809187279151943,0.9057377049180327,True,0.6863354037267081,0.14285714285714285,138,23,101,221
transition,ae_lstm,AE-LSTM,42,True,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,7,False,False,17.381608963012695,5,0.03333027141483576,0.4161490683229814,0.0,5.551115123125783e-17,0.35433043506668743,0.8571428571428571,0.7947569409876509,0.9028830873324754,0.42857142857142855,-0.08304547985373996,0.0,0.0,True,0.0,0.14285714285714285,138,23,7,0
