model,model_name,seed,is_reference,score_top_k,threshold_requested_percentile,threshold_method,score_threshold,threshold_effective_percentile,threshold_selected_rank,threshold_selected_order_index,calibration_n,threshold_percentile_resolution,healthy_test_false_positive_rate,healthy_test_n,fault_experiment_count,valid_fault_trial_count,calibration_role,fault_evaluation_role,uses_fault_data_for_selection,is_historical_reference_configuration,macro_recall,macro_recall_n_valid,macro_f1,macro_f1_n_valid,macro_precision,macro_precision_n_valid
ae_denso,Autoencoder Denso,42,True,5,99.9,healthy_percentile_higher,5.104478359222412,100.0,210,209,210,0.47619047619047616,0.0071174377224199285,281,14,12,healthy_calibration_only,post_freeze_descriptive_only,False,True,0.3841458544657873,14,0.43190721334743387,14,0.8701766692223784,12
ae_denso,Autoencoder Denso,42,True,10,99.0,healthy_percentile_higher,1.8675434589385986,99.04761904761905,208,207,210,0.47619047619047616,0.017793594306049824,281,14,13,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.41097151062604814,14,0.47198792784635796,14,0.9204362140041362,13
ae_denso,Autoencoder Denso,42,True,10,99.5,healthy_percentile_higher,2.758896589279175,99.52380952380952,209,208,210,0.47619047619047616,0.0071174377224199285,281,14,12,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3859449736224439,14,0.43460556866992545,14,0.9201573718836545,12
ae_denso,Autoencoder Denso,42,True,10,99.9,healthy_percentile_higher,2.805460214614868,100.0,210,209,210,0.47619047619047616,0.0071174377224199285,281,14,12,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3841514749567484,14,0.43180367176545964,14,0.8982062125181844,12
ae_denso,Autoencoder Denso,42,True,20,99.0,healthy_percentile_higher,0.986641526222229,99.04761904761905,208,207,210,0.47619047619047616,0.017793594306049824,281,14,13,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.41256885415720024,14,0.47424617928362334,14,0.931371415065332,13
ae_denso,Autoencoder Denso,42,True,20,99.5,healthy_percentile_higher,1.4423803091049194,99.52380952380952,209,208,210,0.47619047619047616,0.0071174377224199285,281,14,12,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38574600824242006,14,0.4344188669289201,14,0.9134663155874748,12
ae_denso,Autoencoder Denso,42,True,20,99.9,healthy_percentile_higher,1.502622365951538,100.0,210,209,210,0.47619047619047616,0.0071174377224199285,281,14,12,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38455221596227673,14,0.43222916716768073,14,0.9034900345585622,12
ae_denso,Autoencoder Denso,71,False,5,99.0,healthy_percentile_higher,3.792628526687622,99.04761904761905,208,207,210,0.47619047619047616,0.017793594306049824,281,14,14,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.40247287982542274,14,0.45869681909029947,14,0.921520573138974,14
ae_denso,Autoencoder Denso,71,False,5,99.5,healthy_percentile_higher,4.443046569824219,99.52380952380952,209,208,210,0.47619047619047616,0.0071174377224199285,281,14,13,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3917234003795779,14,0.4428035969655184,14,0.8837830940201805,13
ae_denso,Autoencoder Denso,71,False,5,99.9,healthy_percentile_higher,5.563272476196289,100.0,210,209,210,0.47619047619047616,0.0071174377224199285,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,True,0.38355738906215736,14,0.4304719270154663,14,0.8590300342775721,11
ae_denso,Autoencoder Denso,71,False,10,99.0,healthy_percentile_higher,1.9641895294189453,99.04761904761905,208,207,210,0.47619047619047616,0.021352313167259787,281,14,14,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.4090527885936134,14,0.46811240513430885,14,0.9284768349657616,14
ae_denso,Autoencoder Denso,71,False,10,99.5,healthy_percentile_higher,2.42130708694458,99.52380952380952,209,208,210,0.47619047619047616,0.0071174377224199285,281,14,14,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.392522072145154,14,0.4436170660274658,14,0.9308428586064597,14
ae_denso,Autoencoder Denso,71,False,10,99.9,healthy_percentile_higher,2.924865245819092,100.0,210,209,210,0.47619047619047616,0.0071174377224199285,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38435606082773344,14,0.43126559888532107,14,0.8566160636443949,11
ae_denso,Autoencoder Denso,71,False,20,99.0,healthy_percentile_higher,1.0084205865859985,99.04761904761905,208,207,210,0.47619047619047616,0.021352313167259787,281,14,14,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.410526246047255,14,0.47005047054751536,14,0.9294390615120058,14
ae_denso,Autoencoder Denso,71,False,20,99.5,healthy_percentile_higher,1.3019278049468994,99.52380952380952,209,208,210,0.47619047619047616,0.0071174377224199285,281,14,13,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.39112931448498683,14,0.44135910510127524,14,0.9231824582584808,13
ae_denso,Autoencoder Denso,71,False,20,99.9,healthy_percentile_higher,1.5171982049942017,100.0,210,209,210,0.47619047619047616,0.0071174377224199285,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3845578364532379,14,0.43139270218373876,14,0.8566282465834071,11
ae_denso,Autoencoder Denso,101,False,5,99.0,healthy_percentile_higher,3.144629955291748,99.04761904761905,208,207,210,0.47619047619047616,0.021352313167259787,281,14,14,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.41931431004704917,14,0.4818037922417083,14,0.9178347110657459,14
ae_denso,Autoencoder Denso,101,False,5,99.5,healthy_percentile_higher,5.570994853973389,99.52380952380952,209,208,210,0.47619047619047616,0.0035587188612099642,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3831622685475902,14,0.4293530514509227,14,0.843630478555464,11
ae_denso,Autoencoder Denso,101,False,5,99.9,healthy_percentile_higher,5.649452209472656,100.0,210,209,210,0.47619047619047616,0.0035587188612099642,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,True,0.3827615275420619,14,0.42883741033457506,14,0.843618210122143,11
ae_denso,Autoencoder Denso,101,False,10,99.0,healthy_percentile_higher,1.678283929824829,99.04761904761905,208,207,210,0.47619047619047616,0.021352313167259787,281,14,14,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.42660629872997463,14,0.49005580319112196,14,0.9124421821536696,14
ae_denso,Autoencoder Denso,101,False,10,99.5,healthy_percentile_higher,2.9920432567596436,99.52380952380952,209,208,210,0.47619047619047616,0.0035587188612099642,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38336404417309466,14,0.42898971947696996,14,0.8411228341467222,11
ae_denso,Autoencoder Denso,101,False,10,99.9,healthy_percentile_higher,2.9967310428619385,100.0,210,209,210,0.47619047619047616,0.0035587188612099642,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38336404417309466,14,0.42898971947696996,14,0.8411228341467222,11
ae_denso,Autoencoder Denso,101,False,20,99.0,healthy_percentile_higher,0.895107090473175,99.04761904761905,208,207,210,0.47619047619047616,0.021352313167259787,281,14,14,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.4256114718298552,14,0.488724599370487,14,0.9117759748764224,14
ae_denso,Autoencoder Denso,101,False,20,99.5,healthy_percentile_higher,1.5250087976455688,99.52380952380952,209,208,210,0.47619047619047616,0.0035587188612099642,281,14,12,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38416271593867063,14,0.42990268744534754,14,0.8463481176659039,12
ae_denso,Autoencoder Denso,101,False,20,99.9,healthy_percentile_higher,1.5737777948379517,100.0,210,209,210,0.47619047619047616,0.0035587188612099642,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38356581979859905,14,0.42901244500655805,14,0.8105355068733462,11
ae_lstm,AE-LSTM,13,False,5,99.0,healthy_percentile_higher,20.590009689331055,99.04761904761905,208,207,210,0.47619047619047616,0.017793594306049824,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38567016652432656,14,0.43292892937366473,14,0.9474207404347297,9
ae_lstm,AE-LSTM,13,False,5,99.5,healthy_percentile_higher,20.863170623779297,99.52380952380952,209,208,210,0.47619047619047616,0.017793594306049824,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38567016652432656,14,0.4329460544207587,14,0.9498837946219216,9
ae_lstm,AE-LSTM,13,False,5,99.9,healthy_percentile_higher,25.40787696838379,100.0,210,209,210,0.47619047619047616,0.0071174377224199285,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,True,0.38075220202345916,14,0.42729470679317594,14,0.9401066662096073,9
ae_lstm,AE-LSTM,13,False,10,99.0,healthy_percentile_higher,10.370562553405762,99.04761904761905,208,207,210,0.47619047619047616,0.017793594306049824,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38668785590600147,14,0.43435426154216794,14,0.9499667679085759,9
ae_lstm,AE-LSTM,13,False,10,99.5,healthy_percentile_higher,10.616121292114258,99.52380952380952,209,208,210,0.47619047619047616,0.017793594306049824,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38586913190435046,14,0.43317990349295593,14,0.9484013722712985,9
ae_lstm,AE-LSTM,13,False,10,99.9,healthy_percentile_higher,12.845377922058105,100.0,210,209,210,0.47619047619047616,0.0071174377224199285,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38095116740348306,14,0.4275819983139435,14,0.9507353944853946,9
ae_lstm,AE-LSTM,13,False,20,99.0,healthy_percentile_higher,5.2036590576171875,99.04761904761905,208,207,210,0.47619047619047616,0.017793594306049824,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3870885969115298,14,0.434805419897699,14,0.949062012128992,9
ae_lstm,AE-LSTM,13,False,20,99.5,healthy_percentile_higher,5.315063953399658,99.52380952380952,209,208,210,0.47619047619047616,0.017793594306049824,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3862927353914343,14,0.4334468628429394,14,0.9461747162309434,9
ae_lstm,AE-LSTM,13,False,20,99.9,healthy_percentile_higher,6.479258060455322,100.0,210,209,210,0.47619047619047616,0.0071174377224199285,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38095116740348306,14,0.4275819983139435,14,0.9507353944853946,9
ae_lstm,AE-LSTM,29,False,5,99.0,healthy_percentile_higher,17.647109985351562,99.04761904761905,208,207,210,0.47619047619047616,0.02491103202846975,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.39796226753101444,14,0.4468190945047933,14,0.9073634745531328,11
ae_lstm,AE-LSTM,29,False,5,99.5,healthy_percentile_higher,17.970062255859375,99.52380952380952,209,208,210,0.47619047619047616,0.02491103202846975,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3975643367709667,14,0.4464297908111011,14,0.9081654790711902,11
ae_lstm,AE-LSTM,29,False,5,99.9,healthy_percentile_higher,21.43026351928711,100.0,210,209,210,0.47619047619047616,0.021352313167259787,281,14,10,healthy_calibration_only,post_freeze_descriptive_only,False,True,0.38754668437980244,14,0.43600530232248286,14,0.8547470294228592,10
