seed,is_reference,analysis,metric,difference_lstm_minus_dense,ci95_low,ci95_high,n_paired_experiments,n_valid_paired_experiments,bootstrap_resamples,bootstrap_unit
13,False,current_full,recall,0.00019896538002387584,-0.0005968961400716276,0.001193792280143255,14,14,20000,paired_experiment
13,False,current_full,f1,-3.063178631115572e-05,-0.0019592199535307837,0.0021407790199006694,14,14,20000,paired_experiment
13,False,current_full,precision,0.05338700999507221,-0.007126369145757915,0.1669770328988206,14,9,20000,paired_experiment
13,False,current_full,auc_roc,-0.02804656850743279,-0.047179087173172554,-0.012626175993539185,14,14,20000,paired_experiment
13,False,current_full,auc_pr,-0.020003757029405562,-0.03475208389391295,-0.0072635413889152655,14,14,20000,paired_experiment
13,False,current_full,false_positive_rate,0.002216061714135901,-0.0008003014986255209,0.0070516612442078274,14,14,20000,paired_experiment
13,False,current_full,specificity,-0.0022160617141358924,-0.007051661244207815,0.000800301498625533,14,14,20000,paired_experiment
13,False,current_full,sensitivity,0.00019896538002387584,-0.0005968961400716276,0.001193792280143255,14,14,20000,paired_experiment
13,False,current_full,balanced_accuracy,-0.001008548167056006,-0.0034269006137031465,0.00040070343092394955,14,14,20000,paired_experiment
13,False,current_full,mcc,-0.0018922614782503882,-0.00874326602600559,0.004947699014937275,14,14,20000,paired_experiment
13,False,post_fault_reset,recall,0.00019896538002387584,-0.0005968961400716276,0.001193792280143255,14,14,20000,paired_experiment
13,False,post_fault_reset,f1,-3.063178631115572e-05,-0.0019592199535307837,0.0021642498915226153,14,14,20000,paired_experiment
13,False,post_fault_reset,precision,0.05338700999507221,-0.007126369145757915,0.1669770328988206,14,9,20000,paired_experiment
13,False,post_fault_reset,auc_roc,-0.027554630012591837,-0.047038897225116616,-0.011544216806474238,14,14,20000,paired_experiment
13,False,post_fault_reset,auc_pr,-0.019742678584847146,-0.03517535688084603,-0.006512265686962589,14,14,20000,paired_experiment
13,False,post_fault_reset,false_positive_rate,0.002216061714135901,-0.0008003014986255209,0.0070516612442078274,14,14,20000,paired_experiment
13,False,post_fault_reset,specificity,-0.0022160617141358924,-0.007051661244207815,0.000800301498625533,14,14,20000,paired_experiment
13,False,post_fault_reset,sensitivity,0.00019896538002387584,-0.0005968961400716276,0.001193792280143255,14,14,20000,paired_experiment
13,False,post_fault_reset,balanced_accuracy,-0.001008548167056006,-0.0034263617491322464,0.0004990807577135278,14,14,20000,paired_experiment
13,False,post_fault_reset,mcc,-0.0018922614782503882,-0.00874326602600559,0.004947699014937275,14,14,20000,paired_experiment
13,False,sustained,recall,0.00020292207792207794,-0.0006087662337662338,0.0012175324675324675,14,14,20000,paired_experiment
13,False,sustained,f1,-3.478581446789024e-05,-0.0019344288116845013,0.0021049054508909828,14,14,20000,paired_experiment
13,False,sustained,precision,0.05339319963502969,-0.007120179505800437,0.16698322253877806,14,9,20000,paired_experiment
13,False,sustained,auc_roc,-0.02865144159128663,-0.048686242733987604,-0.013264325136515265,14,14,20000,paired_experiment
13,False,sustained,auc_pr,-0.021211538141739785,-0.036531941014592166,-0.008324067604540098,14,14,20000,paired_experiment
13,False,sustained,false_positive_rate,0.002216061714135901,-0.0008003014986255209,0.0070516612442078274,14,14,20000,paired_experiment
13,False,sustained,specificity,-0.0022160617141358924,-0.007051661244207815,0.0007980845969672856,14,14,20000,paired_experiment
13,False,sustained,sensitivity,0.00020292207792207794,-0.0006087662337662338,0.0012175324675324675,14,14,20000,paired_experiment
13,False,sustained,balanced_accuracy,-0.0010065698181069085,-0.00342436958314287,0.0004971024087644224,14,14,20000,paired_experiment
13,False,sustained,mcc,-0.00188630819449497,-0.008831473000309089,0.005023882743425364,14,14,20000,paired_experiment
13,False,transition,recall,0.0,0.0,0.0,14,14,20000,paired_experiment
13,False,transition,f1,0.004761904761904761,0.0,0.014285714285714282,14,14,20000,paired_experiment
13,False,transition,precision,0.03125,0.0,0.09375,14,4,20000,paired_experiment
13,False,transition,auc_roc,-0.022664571562077095,-0.10929344050176415,0.06343529003481815,14,14,20000,paired_experiment
13,False,transition,auc_pr,0.01411052716636273,-0.007436738114837665,0.04425829276807985,14,14,20000,paired_experiment
13,False,transition,false_positive_rate,0.002216061714135901,-0.0007980845969672786,0.0070516612442078274,14,14,20000,paired_experiment
13,False,transition,specificity,-0.0022160617141358924,-0.007051661244207815,0.000800301498625533,14,14,20000,paired_experiment
13,False,transition,sensitivity,0.0,0.0,0.0,14,14,20000,paired_experiment
13,False,transition,balanced_accuracy,-0.0011080308570679462,-0.0035258306221039076,0.0003990422984836428,14,14,20000,paired_experiment
13,False,transition,mcc,0.0030463202763511715,-0.003966249119194077,0.013968717895939921,14,14,20000,paired_experiment
29,False,current_full,recall,1.556980725884707e-06,-0.013529645841623557,0.014723438121766812,14,14,20000,paired_experiment
29,False,current_full,f1,4.618557173329679e-05,-0.024245695783610473,0.025768860154432416,14,14,20000,paired_experiment
29,False,current_full,precision,-0.03594280163844978,-0.29844280163844983,0.18225799804765475,14,10,20000,paired_experiment
29,False,current_full,auc_roc,-0.03634880280919996,-0.059041647594532815,-0.015107122905490706,14,14,20000,paired_experiment
29,False,current_full,auc_pr,-0.02850257588244704,-0.0506771522662726,-0.009234859496451654,14,14,20000,paired_experiment
29,False,current_full,false_positive_rate,0.0021894479095194456,-0.02252093103891484,0.025515684716927816,14,14,20000,paired_experiment
29,False,current_full,specificity,-0.002189447909519439,-0.025031932403724203,0.02221086773742228,14,14,20000,paired_experiment
29,False,current_full,sensitivity,1.556980725884707e-06,-0.013728611221647435,0.014585348593531848,14,14,20000,paired_experiment
29,False,current_full,balanced_accuracy,-0.00109394546439678,-0.009423822977125882,0.008233831136890838,14,14,20000,paired_experiment
29,False,current_full,mcc,-0.010525800372527242,-0.04691732411904017,0.017115669431628507,14,14,20000,paired_experiment
29,False,post_fault_reset,recall,-0.00019740839929799112,-0.0141249850009693,0.014126541981695186,14,14,20000,paired_experiment
29,False,post_fault_reset,f1,-0.0002902621520269292,-0.023829937553437014,0.024434005391769837,14,14,20000,paired_experiment
29,False,post_fault_reset,precision,-0.03690434009998824,-0.29844280163844983,0.17881472344516228,14,10,20000,paired_experiment
29,False,post_fault_reset,auc_roc,-0.03559810690092992,-0.05837656023736656,-0.014221150473740493,14,14,20000,paired_experiment
29,False,post_fault_reset,auc_pr,-0.027518111379367098,-0.05008626584716113,-0.00758880957759098,14,14,20000,paired_experiment
29,False,post_fault_reset,false_positive_rate,0.0021894479095194456,-0.02251649723559836,0.025517846196044608,14,14,20000,paired_experiment
29,False,post_fault_reset,specificity,-0.002189447909519439,-0.02503204937549465,0.02279698070402237,14,14,20000,paired_experiment
29,False,post_fault_reset,sensitivity,-0.00019740839929799112,-0.013585850751234817,0.014126541981695186,14,14,20000,paired_experiment
29,False,post_fault_reset,balanced_accuracy,-0.0011934281544087163,-0.009661249592537542,0.008266236103115434,14,14,20000,paired_experiment
29,False,post_fault_reset,mcc,-0.01090863622110147,-0.04638014257896618,0.016874583234011004,14,14,20000,paired_experiment
29,False,sustained,recall,9.11529575588706e-06,-0.013445488229349902,0.014407467532467532,14,14,20000,paired_experiment
29,False,sustained,f1,-0.00018360185685861234,-0.0243368483954265,0.025287589980307723,14,14,20000,paired_experiment
29,False,sustained,precision,-0.03687407862022861,-0.29943019943019944,0.17882029412112402,14,10,20000,paired_experiment
29,False,sustained,auc_roc,-0.03699303319101766,-0.059023903926834924,-0.016289148002709666,14,14,20000,paired_experiment
29,False,sustained,auc_pr,-0.029699565067664326,-0.05178532031831427,-0.01067166347060156,14,14,20000,paired_experiment
29,False,sustained,false_positive_rate,0.0021894479095194456,-0.022210867737422278,0.02521654722936845,14,14,20000,paired_experiment
29,False,sustained,specificity,-0.002189447909519439,-0.025121020799219202,0.022612126937564172,14,14,20000,paired_experiment
29,False,sustained,sensitivity,9.11529575588706e-06,-0.013498777204423822,0.014619504906145497,14,14,20000,paired_experiment
29,False,sustained,balanced_accuracy,-0.0010901663068817774,-0.00972665772913249,0.008699225631232576,14,14,20000,paired_experiment
29,False,sustained,mcc,-0.010810215732049712,-0.04719958375182186,0.017284212783447526,14,14,20000,paired_experiment
29,False,transition,recall,0.0,-0.030612244897959183,0.030612244897959183,14,14,20000,paired_experiment
29,False,transition,f1,0.006211180124223601,-0.009523809523809526,0.024844720496894408,14,14,20000,paired_experiment
29,False,transition,precision,0.046875,0.0,0.09375,14,4,20000,paired_experiment
29,False,transition,auc_roc,-0.020844806542612917,-0.08860891199468947,0.042120643711100525,14,14,20000,paired_experiment
29,False,transition,auc_pr,0.013810795476345861,-0.0033142890294705156,0.04278760934410813,14,14,20000,paired_experiment
29,False,transition,false_positive_rate,0.0021894479095194456,-0.022516552658139816,0.025430919279666234,14,14,20000,paired_experiment
29,False,transition,specificity,-0.002189447909519439,-0.02543091927966639,0.022913322632423756,14,14,20000,paired_experiment
29,False,transition,sensitivity,0.0,-0.030612244897959183,0.030612244897959183,14,14,20000,paired_experiment
29,False,transition,balanced_accuracy,-0.0010947239547597196,-0.009991183685035819,0.0064885680702336775,14,14,20000,paired_experiment
29,False,transition,mcc,0.005537340840803723,-0.007603603533541752,0.020203770743951577,14,14,20000,paired_experiment
42,True,current_full,recall,0.0025560526676169696,-0.005372065260644641,0.011708460148715256,14,14,20000,paired_experiment
42,True,current_full,f1,0.0011616290052642556,-0.012961725633577214,0.017950947125280864,14,14,20000,paired_experiment
42,True,current_full,precision,0.05992499568014201,-0.02032644034772593,0.19729024089205582,14,9,20000,paired_experiment
42,True,current_full,auc_roc,-0.02528373954923896,-0.045316627275521666,-0.008503830738226529,14,14,20000,paired_experiment
42,True,current_full,auc_pr,-0.020686134152158604,-0.04006019275855988,-0.0049728472017678904,14,14,20000,paired_experiment
42,True,current_full,false_positive_rate,0.007916704037913478,-0.005600092860779573,0.026989056492162083,14,14,20000,paired_experiment
42,True,current_full,specificity,-0.007916704037913478,-0.026592231095336687,0.005613493906758622,14,14,20000,paired_experiment
42,True,current_full,sensitivity,0.0025560526676169696,-0.005372065260644642,0.011509494768691383,14,14,20000,paired_experiment
42,True,current_full,balanced_accuracy,-0.002680325685148251,-0.009882788702167734,0.0028221839457979467,14,14,20000,paired_experiment
42,True,current_full,mcc,-0.007222950260708629,-0.029193828906479653,0.011420056919964875,14,14,20000,paired_experiment
42,True,post_fault_reset,recall,0.002160932153049784,-0.005212027889755876,0.010119547354004818,14,14,20000,paired_experiment
42,True,post_fault_reset,f1,0.00022497377158688401,-0.013017239018936852,0.014701940996038571,14,14,20000,paired_experiment
42,True,post_fault_reset,precision,0.05462842903248934,-0.020013726157483883,0.1813835946688063,14,9,20000,paired_experiment
42,True,post_fault_reset,auc_roc,-0.024787270511122648,-0.0455572830963907,-0.007002092936418095,14,14,20000,paired_experiment
42,True,post_fault_reset,auc_pr,-0.020481442410071177,-0.04038210464039044,-0.004357038549968588,14,14,20000,paired_experiment
42,True,post_fault_reset,false_positive_rate,0.007916704037913478,-0.005600092860779573,0.02656149090478074,14,14,20000,paired_experiment
42,True,post_fault_reset,specificity,-0.007916704037913478,-0.02659469584935423,0.005600092860779575,14,14,20000,paired_experiment
42,True,post_fault_reset,sensitivity,0.002160932153049784,-0.005372065260644644,0.009981991946960556,14,14,20000,paired_experiment
42,True,post_fault_reset,balanced_accuracy,-0.0028778859424318398,-0.010275165430707707,0.0029001271254606997,14,14,20000,paired_experiment
42,True,post_fault_reset,mcc,-0.00848868148276682,-0.02947333158016332,0.009352666800179092,14,14,20000,paired_experiment
42,True,sustained,recall,0.0024106856959882827,-0.005275974025974025,0.010503189573794746,14,14,20000,paired_experiment
42,True,sustained,f1,0.00029470352189335823,-0.012985609792234402,0.015096050541602306,14,14,20000,paired_experiment
42,True,sustained,precision,0.05464728173061505,-0.020298220298220322,0.18139013764013764,14,9,20000,paired_experiment
42,True,sustained,auc_roc,-0.02675767574987386,-0.04729821717247089,-0.009190021402735572,14,14,20000,paired_experiment
42,True,sustained,auc_pr,-0.021813067114827302,-0.04145841227577151,-0.005336193148416444,14,14,20000,paired_experiment
42,True,sustained,false_positive_rate,0.007916704037913478,-0.005591225254146603,0.026948952990254547,14,14,20000,paired_experiment
42,True,sustained,specificity,-0.007916704037913478,-0.026585344930620626,0.005595659057463088,14,14,20000,paired_experiment
42,True,sustained,sensitivity,0.0024106856959882827,-0.005275974025974026,0.010527568812871398,14,14,20000,paired_experiment
42,True,sustained,balanced_accuracy,-0.002753009170962602,-0.010120552341341706,0.0030160015590479476,14,14,20000,paired_experiment
42,True,sustained,mcc,-0.008210920678462187,-0.02950282630648465,0.009637516205793239,14,14,20000,paired_experiment
42,True,transition,recall,0.01020408163265306,-0.04081632653061224,0.08163265306122448,14,14,20000,paired_experiment
42,True,transition,f1,0.004599567099567099,-0.047619047619047616,0.060425685425685424,14,14,20000,paired_experiment
42,True,transition,precision,0.08282828282828283,-0.045454545454545456,0.2111111111111111,14,4,20000,paired_experiment
42,True,transition,auc_roc,0.03533882517487014,-0.026841825219896236,0.0967661446939136,14,14,20000,paired_experiment
42,True,transition,auc_pr,0.012220647810084464,-0.0006340013830279331,0.02676350943003909,14,14,20000,paired_experiment
42,True,transition,false_positive_rate,0.007916704037913478,-0.005600092860779573,0.026574941176992252,14,14,20000,paired_experiment
42,True,transition,specificity,-0.007916704037913478,-0.02659469584935423,0.005595659057463088,14,14,20000,paired_experiment
42,True,transition,sensitivity,0.01020408163265306,-0.04081632653061224,0.08163265306122448,14,14,20000,paired_experiment
42,True,transition,balanced_accuracy,0.001143688797369797,-0.024222822878954837,0.03585822597195303,14,14,20000,paired_experiment
42,True,transition,mcc,0.000628164914418675,-0.056842533779382025,0.05956344619209854,14,14,20000,paired_experiment
71,False,current_full,recall,0.00022782887025157777,-0.005559328673757805,0.007560684440907283,14,14,20000,paired_experiment
71,False,current_full,f1,0.0016555344466485258,-0.008576120166007551,0.01512136367090017,14,14,20000,paired_experiment
71,False,current_full,precision,0.07846946427802924,-0.006414093522195217,0.2371044249963233,14,9,20000,paired_experiment
71,False,current_full,auc_roc,-0.0370883355285816,-0.061305346635274205,-0.01513581081380295,14,14,20000,paired_experiment
71,False,current_full,auc_pr,-0.024809166291886422,-0.04728162456517355,-0.007073144411379506,14,14,20000,paired_experiment
71,False,current_full,false_positive_rate,-0.00010911661439890526,-0.009843978993649239,0.010032540260861852,14,14,20000,paired_experiment
71,False,current_full,specificity,0.00010911661439890117,-0.009782608695652173,0.010000952769532877,14,14,20000,paired_experiment
71,False,current_full,sensitivity,0.00022782887025157777,-0.005604753586435275,0.007560684440907283,14,14,20000,paired_experiment
71,False,current_full,balanced_accuracy,0.0001684727423252438,-0.0038147534516348174,0.0036985796938590588,14,14,20000,paired_experiment
71,False,current_full,mcc,0.0017784842872149154,-0.015889734504533622,0.018556991414922574,14,14,20000,paired_experiment
71,False,post_fault_reset,recall,-0.00017010188979617387,-0.005712269040236995,0.00639575565099173,14,14,20000,paired_experiment
71,False,post_fault_reset,f1,0.0009256665527373238,-0.008684961700252021,0.012861705361540384,14,14,20000,paired_experiment
71,False,post_fault_reset,precision,0.07476576057432555,-0.006401783795400819,0.22599331388521218,14,9,20000,paired_experiment
71,False,post_fault_reset,auc_roc,-0.036286585577155646,-0.06151994120271898,-0.01386413248343434,14,14,20000,paired_experiment
71,False,post_fault_reset,auc_pr,-0.02423612942216647,-0.04712934962903136,-0.005687820551291402,14,14,20000,paired_experiment
71,False,post_fault_reset,false_positive_rate,-0.00010911661439890526,-0.009635252422899148,0.01000130436558729,14,14,20000,paired_experiment
71,False,post_fault_reset,specificity,0.00010911661439890117,-0.009851621808143553,0.009992085162899903,14,14,20000,paired_experiment
71,False,post_fault_reset,sensitivity,-0.00017010188979617387,-0.005604753586435275,0.0062136517438512295,14,14,20000,paired_experiment
71,False,post_fault_reset,balanced_accuracy,-3.049263769862904e-05,-0.003951340537829905,0.0033929357327835037,14,14,20000,paired_experiment
71,False,post_fault_reset,mcc,0.0007864760657274257,-0.016368559917695383,0.01611121480411137,14,14,20000,paired_experiment
71,False,sustained,recall,3.3050837136876675e-05,-0.005366315610822103,0.006493506493506493,14,14,20000,paired_experiment
71,False,sustained,f1,0.0010752503787625721,-0.008681200012797787,0.013229882139351846,14,14,20000,paired_experiment
71,False,sustained,precision,0.07478928769705756,-0.006390566399463189,0.22601684100794417,14,9,20000,paired_experiment
71,False,sustained,auc_roc,-0.03730684396618538,-0.06122084823286434,-0.015753243235313272,14,14,20000,paired_experiment
71,False,sustained,auc_pr,-0.025508433482604065,-0.0473771444797005,-0.007930178770392758,14,14,20000,paired_experiment
71,False,sustained,false_positive_rate,-0.00010911661439890526,-0.010000841924449983,0.009709161779844313,14,14,20000,paired_experiment
71,False,sustained,specificity,0.00010911661439890117,-0.009851621808143553,0.01002764401640806,14,14,20000,paired_experiment
71,False,sustained,sensitivity,3.3050837136876675e-05,-0.005475084759255207,0.006541177076891359,14,14,20000,paired_experiment
71,False,sustained,balanced_accuracy,7.108372576788187e-05,-0.0039485072912542945,0.003717256080800863,14,14,20000,paired_experiment
71,False,sustained,mcc,0.0009190672324267014,-0.016381004643638314,0.016673723379956075,14,14,20000,paired_experiment
71,False,transition,recall,0.01020408163265306,-0.030612244897959183,0.061224489795918366,14,14,20000,paired_experiment
71,False,transition,f1,0.019047619047619046,-0.017857142857142856,0.06607142857142857,14,14,20000,paired_experiment
71,False,transition,precision,0.1574074074074074,0.0,0.25,14,3,20000,paired_experiment
71,False,transition,auc_roc,-0.056005311124613995,-0.12582262659516347,0.027552382347822982,14,14,20000,paired_experiment
71,False,transition,auc_pr,0.004647855795337267,-0.015005176635098592,0.033691868728852485,14,14,20000,paired_experiment
71,False,transition,false_positive_rate,-0.00010911661439890526,-0.009996408121133499,0.009782608695652173,14,14,20000,paired_experiment
71,False,transition,specificity,0.00010911661439890117,-0.010105987176669709,0.009996408121133489,14,14,20000,paired_experiment
71,False,transition,sensitivity,0.01020408163265306,-0.030612244897959183,0.061224489795918366,14,14,20000,paired_experiment
71,False,transition,balanced_accuracy,0.005156599123525983,-0.010296287249246827,0.027672777879672632,14,14,20000,paired_experiment
71,False,transition,mcc,0.0212860140099965,-0.012784670896305212,0.06587246918989763,14,14,20000,paired_experiment
101,False,current_full,recall,0.002388761023301358,-0.0023932050512476327,0.008371316331969575,14,14,20000,paired_experiment
101,False,current_full,f1,0.0014677009984119577,-0.004890560378684817,0.009984250606417876,14,14,20000,paired_experiment
101,False,current_full,precision,0.061106843713147944,-0.019675606258569837,0.2014242620828919,14,9,20000,paired_experiment
101,False,current_full,auc_roc,-0.030229446790666723,-0.051095573164793226,-0.012393030813186072,14,14,20000,paired_experiment
101,False,current_full,auc_pr,-0.019554324503044458,-0.03478913160477252,-0.006213600974820128,14,14,20000,paired_experiment
101,False,current_full,false_positive_rate,0.006289247738260582,-0.004394048540680893,0.02288277629892537,14,14,20000,paired_experiment
101,False,current_full,specificity,-0.006289247738260577,-0.022483734000441718,0.004394048540680896,14,14,20000,paired_experiment
101,False,current_full,sensitivity,0.002388761023301358,-0.00238758456028651,0.008556687804041509,14,14,20000,paired_experiment
101,False,current_full,balanced_accuracy,-0.0019502433574796038,-0.007748666091496452,0.0016939903293196374,14,14,20000,paired_experiment
101,False,current_full,mcc,-0.001715490269539754,-0.018594508900672352,0.013337605200162998,14,14,20000,paired_experiment
101,False,post_fault_reset,recall,0.002388761023301358,-0.002393205051247633,0.008376936822930697,14,14,20000,paired_experiment
101,False,post_fault_reset,f1,0.0014677009984119577,-0.004857334382754224,0.009951024610487283,14,14,20000,paired_experiment
101,False,post_fault_reset,precision,0.061106843713147944,-0.020154015824150464,0.2014242620828919,14,9,20000,paired_experiment
101,False,post_fault_reset,auc_roc,-0.03132862882515878,-0.052457610486032306,-0.013279993558636101,14,14,20000,paired_experiment
101,False,post_fault_reset,auc_pr,-0.020121430590480265,-0.03556791799574586,-0.006589984698257427,14,14,20000,paired_experiment
101,False,post_fault_reset,false_positive_rate,0.006289247738260582,-0.004396265442339136,0.022485950902099972,14,14,20000,paired_experiment
101,False,post_fault_reset,specificity,-0.006289247738260577,-0.022867238682836927,0.004398482343997383,14,14,20000,paired_experiment
101,False,post_fault_reset,sensitivity,0.002388761023301358,-0.00238758456028651,0.008371456844243591,14,14,20000,paired_experiment
