model,tn,fp,fn,tp,tn_rate_actual_healthy,fp_rate_actual_healthy,fn_rate_actual_fault,tp_rate_actual_fault,unit,normalization,threshold_requested_percentile,threshold_effective_percentile
ae_denso,2283,65,2719,1965,0.9723168654173765,0.02768313458262351,0.5804867634500427,0.4195132365499573,window_descriptive_only,within_actual_class,99.0,99.04761904761905
ae_lstm,2304,44,2820,1864,0.9812606473594548,0.018739352640545145,0.6020495303159693,0.39795046968403075,window_descriptive_only,within_actual_class,99.0,99.04761904761905
