model,component,component_name,npr,magnitude,detections,n_trajectories,detection_probability,ci95_low,ci95_high
ae_denso,contator_ac,Contator AC,315,0.28,92,281,0.3274021352313167,0.27518410812024563,0.3842755772724594
ae_lstm,contator_ac,Contator AC,315,0.28,19,281,0.06761565836298933,0.04371089781186638,0.10318295322346713
ae_denso,contator_ac,Contator AC,315,0.29,100,281,0.35587188612099646,0.3021810786841263,0.4134502049943181
ae_lstm,contator_ac,Contator AC,315,0.29,21,281,0.07473309608540925,0.04939676014951941,0.11153999045724891
ae_denso,contator_ac,Contator AC,315,0.3,110,281,0.3914590747330961,0.33622337500946436,0.4496224065261543
ae_lstm,contator_ac,Contator AC,315,0.3,24,281,0.08540925266903915,0.058065177647591025,0.12393592231632955
ae_denso,contator_ac,Contator AC,315,0.31,123,281,0.4377224199288256,0.38094308923496345,0.49618153951498156
ae_lstm,contator_ac,Contator AC,315,0.31,27,281,0.09608540925266904,0.06687728716238853,0.1361881621586843
ae_denso,contator_ac,Contator AC,315,0.32,130,281,0.4626334519572954,0.40523229510863534,0.5210424821413316
ae_lstm,contator_ac,Contator AC,315,0.32,33,281,0.11743772241992882,0.08485555990511567,0.16033858813026167
ae_denso,contator_ac,Contator AC,315,0.33,140,281,0.498220640569395,0.440179724281692,0.5563095508254492
ae_lstm,contator_ac,Contator AC,315,0.33,42,281,0.1494661921708185,0.11251855686719736,0.19586863923963677
ae_denso,contator_ac,Contator AC,315,0.34,152,281,0.5409252669039146,0.482500259664758,0.5982464128709923
ae_lstm,contator_ac,Contator AC,315,0.34,52,281,0.18505338078291814,0.1440030310727681,0.23459866289124018
ae_denso,contator_ac,Contator AC,315,0.35000000000000003,167,281,0.594306049822064,0.5359969268322978,0.6500714924892138
ae_lstm,contator_ac,Contator AC,315,0.35000000000000003,63,281,0.22419928825622776,0.17934350325258408,0.27649413835431585
ae_denso,contator_ac,Contator AC,315,0.36,173,281,0.6156583629893239,0.5575865701023985,0.6706105479334177
ae_lstm,contator_ac,Contator AC,315,0.36,71,281,0.2526690391459075,0.2054308127772,0.30657842711543937
ae_denso,contator_ac,Contator AC,315,0.37,177,281,0.6298932384341637,0.5720424331768379,0.6842404840018479
ae_lstm,contator_ac,Contator AC,315,0.37,78,281,0.2775800711743772,0.22848940646528723,0.33266998192737396
ae_denso,contator_ac,Contator AC,315,0.38,190,281,0.6761565836298933,0.619386720876139,0.7281750435168732
ae_lstm,contator_ac,Contator AC,315,0.38,84,281,0.298932384341637,0.24841151101789016,0.3548765760890755
ae_denso,contator_ac,Contator AC,315,0.39,199,281,0.708185053380783,0.652510129134852,0.7582446833296171
ae_lstm,contator_ac,Contator AC,315,0.39,96,281,0.3416370106761566,0.28865544201765636,0.3988900425179184
ae_denso,contator_ac,Contator AC,315,0.4,206,281,0.7330960854092526,0.6784869917926962,0.7814179691717947
ae_lstm,contator_ac,Contator AC,315,0.4,105,281,0.3736654804270463,0.3191622187664896,0.431576313840542
ae_denso,contator_ac,Contator AC,315,0.41000000000000003,213,281,0.7580071174377224,0.7046684363112913,0.8043866731532215
ae_lstm,contator_ac,Contator AC,315,0.41000000000000003,112,281,0.398576512455516,0.3430697650885639,0.45681891601848956
ae_denso,contator_ac,Contator AC,315,0.42,223,281,0.7935943060498221,0.7424673723162261,0.8368022350054609
ae_lstm,contator_ac,Contator AC,315,0.42,121,281,0.4306049822064057,0.3740299388629237,0.48905179031558654
ae_denso,contator_ac,Contator AC,315,0.43,229,281,0.8149466192170819,0.7654013371087598,0.8559969689272318
ae_lstm,contator_ac,Contator AC,315,0.43,125,281,0.44483985765124556,0.38786811910135355,0.5032994092200264
ae_denso,contator_ac,Contator AC,315,0.44,238,281,0.8469750889679716,0.8002262842927741,0.8843650698146743
ae_lstm,contator_ac,Contator AC,315,0.44,130,281,0.4626334519572954,0.40523229510863534,0.5210424821413316
ae_denso,contator_ac,Contator AC,315,0.45,242,281,0.8612099644128114,0.8158946291640813,0.8967825240862367
ae_lstm,contator_ac,Contator AC,315,0.45,134,281,0.47686832740213525,0.41917634504376644,0.5351842313490702
ae_denso,contator_ac,Contator AC,315,0.46,246,281,0.8754448398576512,0.8317007294435511,0.9090622229496365
ae_lstm,contator_ac,Contator AC,315,0.46,135,281,0.4804270462633452,0.42266964336493457,0.5387123828136196
ae_denso,contator_ac,Contator AC,315,0.47000000000000003,251,281,0.8932384341637011,0.8516828309330018,0.9241873703887731
ae_lstm,contator_ac,Contator AC,315,0.47000000000000003,136,281,0.48398576512455516,0.4261658501119323,0.5422376258523391
ae_denso,contator_ac,Contator AC,315,0.48,256,281,0.9110320284697508,0.8719651622103618,0.9390122880399999
ae_lstm,contator_ac,Contator AC,315,0.48,137,281,0.4875444839857651,0.4296649631024977,0.5457599626474912
ae_denso,contator_ac,Contator AC,315,0.49,259,281,0.9217081850533808,0.8843105426678534,0.9477312569396609
ae_lstm,contator_ac,Contator AC,315,0.49,140,281,0.498220640569395,0.440179724281692,0.5563095508254492
ae_denso,contator_ac,Contator AC,315,0.5,266,281,0.9466192170818505,0.9138049373482748,0.967387010759261
ae_lstm,contator_ac,Contator AC,315,0.5,142,281,0.505338078291815,0.4472040759546316,0.5633280987239446
ae_denso,contator_ac,Contator AC,315,0.51,270,281,0.9608540925266904,0.9312744528968968,0.9780032943535091
ae_lstm,contator_ac,Contator AC,315,0.51,143,281,0.5088967971530249,0.45072060505707895,0.5668330194072145
ae_denso,contator_ac,Contator AC,315,0.52,274,281,0.9750889679715302,0.9494817505830367,0.9878817958102387
ae_lstm,contator_ac,Contator AC,315,0.52,145,281,0.5160142348754448,0.45776237414766074,0.5738341498880676
ae_denso,contator_ac,Contator AC,315,0.53,274,281,0.9750889679715302,0.9494817505830367,0.9878817958102387
ae_lstm,contator_ac,Contator AC,315,0.53,147,281,0.5231316725978647,0.46481576865092966,0.5808236549562334
ae_denso,contator_ac,Contator AC,315,0.54,276,281,0.9822064056939501,0.9590301518457359,0.9923762941189743
ae_lstm,contator_ac,Contator AC,315,0.54,151,281,0.5373665480427047,0.47895751785866836,0.5947677048913645
ae_denso,contator_ac,Contator AC,315,0.55,276,281,0.9822064056939501,0.9590301518457359,0.9923762941189743
ae_lstm,contator_ac,Contator AC,315,0.55,152,281,0.5409252669039146,0.482500259664758,0.5982464128709923
ae_denso,contator_ac,Contator AC,315,0.56,278,281,0.9893238434163701,0.969086718928308,0.9963626266078373
ae_lstm,contator_ac,Contator AC,315,0.56,161,281,0.5729537366548043,0.5145175598002844,0.6294221608069229
ae_denso,contator_ac,Contator AC,315,0.5700000000000001,278,281,0.9893238434163701,0.969086718928308,0.9963626266078373
ae_lstm,contator_ac,Contator AC,315,0.5700000000000001,167,281,0.594306049822064,0.5359969268322978,0.6500714924892138
ae_denso,contator_ac,Contator AC,315,0.58,280,281,0.99644128113879,0.9801207228327832,0.9993715222747969
ae_lstm,contator_ac,Contator AC,315,0.58,171,281,0.608540925266904,0.5503775934738457,0.6637766249905357
ae_denso,contator_ac,Contator AC,315,0.59,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.59,179,281,0.6370106761565836,0.579289599816114,0.6910362169340065
ae_denso,contator_ac,Contator AC,315,0.6,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.6,188,281,0.6690391459074733,0.6120656251936155,0.7214532396279617
ae_denso,contator_ac,Contator AC,315,0.61,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.61,193,281,0.6868327402135231,0.6303949176433693,0.7382311961067952
ae_denso,contator_ac,Contator AC,315,0.62,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.62,197,281,0.701067615658363,0.6451234239109244,0.7515884889821097
ae_denso,contator_ac,Contator AC,315,0.63,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.63,207,281,0.7366548042704626,0.6822142505731414,0.7847121601770668
ae_denso,contator_ac,Contator AC,315,0.64,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.64,217,281,0.7722419928825622,0.7197287764808038,0.8174121321265786
ae_denso,contator_ac,Contator AC,315,0.65,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.65,224,281,0.797153024911032,0.7462755313398217,0.8400155257675828
ae_denso,contator_ac,Contator AC,315,0.66,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.66,230,281,0.8185053380782918,0.7692443326356749,0.8591754231860341
ae_denso,contator_ac,Contator AC,315,0.67,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.67,233,281,0.8291814946619217,0.7808113942093994,0.868672710969462
ae_denso,contator_ac,Contator AC,315,0.68,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.68,239,281,0.8505338078291815,0.8041313607603633,0.8874814431328026
ae_denso,contator_ac,Contator AC,315,0.6900000000000001,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.6900000000000001,241,281,0.8576512455516014,0.8119652943312666,0.8936904091333341
ae_denso,contator_ac,Contator AC,315,0.7000000000000001,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.7000000000000001,245,281,0.8718861209964412,0.8277352964137437,0.9060062061937266
ae_denso,contator_ac,Contator AC,315,0.71,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.71,251,281,0.8932384341637011,0.8516828309330018,0.9241873703887731
ae_denso,contator_ac,Contator AC,315,0.72,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.72,256,281,0.9110320284697508,0.8719651622103618,0.9390122880399999
ae_denso,contator_ac,Contator AC,315,0.73,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.73,259,281,0.9217081850533808,0.8843105426678534,0.9477312569396609
ae_denso,contator_ac,Contator AC,315,0.74,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.74,265,281,0.9430604982206405,0.9095192728022795,0.9646512255195391
ae_denso,contator_ac,Contator AC,315,0.75,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.75,270,281,0.9608540925266904,0.9312744528968968,0.9780032943535091
ae_denso,contator_ac,Contator AC,315,0.76,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.76,272,281,0.9679715302491103,0.9402607326054018,0.9830599142164389
ae_denso,contator_ac,Contator AC,315,0.77,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.77,273,281,0.9715302491103203,0.9448373282525289,0.9855047683550291
ae_denso,contator_ac,Contator AC,315,0.78,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.78,275,281,0.9786476868327402,0.954206821055696,0.9901781751232968
ae_denso,contator_ac,Contator AC,315,0.79,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.79,275,281,0.9786476868327402,0.954206821055696,0.9901781751232968
ae_denso,contator_ac,Contator AC,315,0.8,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.8,278,281,0.9893238434163701,0.969086718928308,0.9963626266078373
